ID,NEEDY_ID,VOLUNTEER_ID,ADDRESS,LATITUDE,LONGITUDE,CREATED_AT,SERVICE_TYPE,STATUS
1,0,1,5 South Junction,13.48333,-13.86667,2015-05-22 21:31:53,STREET,ACTIVE
2,1,1,847 Waubesa Point,33.48917,109.10528,2016-03-20 12:23:06,STREET,CLOSED
3,1,2,45 Cascade Point,-10.46139,-40.18944,2015-11-17 23:24:41,STREET,CLOSED
4,2,2,629 Kings Plaza,-3.6184,114.7166,2016-01-12 20:07:40,HOME,CLOSED
5,2,2,825 Stone Corner Pass,52.47724,15.7816,2015-12-18 06:27:08,HOME,CLOSED
6,3,3,665 Quincy Avenue,29.82833,110.42306,2016-01-15 05:58:49,HOME,ACTIVE
7,3,3,071 Rowland Drive,33.0169,-116.846,2015-07-20 11:57:50,MARKET,ACTIVE
8,4,null,436 Bobwhite Lane,13.2719,123.4623,2015-12-18 02:02:59,HOME,PENDING
9,4,4,69145 Bultman Drive,24.50649,110.38919,2015-09-02 16:57:32,HOME,CLOSED
10,5,4,30067 Hansons Center,-19.52905,45.45559,2015-09-10 19:25:28,STREET,CLOSED
11,5,4,689 Northfield Lane,44.92018,16.89932,2016-04-24 22:29:49,STREET,CLOSED
12,51,10,9 Corscot Point,36.90836,54.86884,2016-02-09 08:35:10,MARKET,CLOSED
13,6,5,8 Colorado Way,29.35875,108.87544,2015-05-15 22:35:47,MARKET,ACTIVE
14,7,5,9698 Cherokee Trail,41.2833,-8.25,2015-11-25 23:52:19,HOME,CLOSED
15,7,6,5 Eagan Lane,13.75684,107.88624,2015-07-05 22:02:43,MARKET,CLOSED
16,8,null,96 Waywood Avenue,-9.50194,-36.02278,2016-01-28 04:27:45,HOME,PENDING
17,8,null,21730 Fallview Court,31.90991,70.87741,2016-02-02 06:16:48,HOME,PENDING
18,9,null,44 Hudson Lane,44.35056,142.45778,2016-03-10 23:37:11,STREET,PENDING
19,9,7,73 Bay Parkway,43.2969,5.3811,2016-02-28 20:04:20,HOME,ACTIVE
20,10,7,91418 South Place,33.8994,-117.9063,2016-01-11 10:43:04,HOME,ACTIVE
21,10,8,46618 Kedzie Plaza,5.8575,125.00611,2016-02-13 13:34:10,HOME,ACTIVE
22,11,8,86 Mayfield Street,58.0774,13.0266,2015-06-02 23:06:10,HOME,CLOSED
23,11,null,83114 Dottie Place,25.95091,118.36989,2015-05-11 03:37:18,HOME,PENDING
24,12,9,7616 Canary Place,26.12944,117.76956,2015-07-12 06:46:52,HOME,CLOSED
25,12,9,510 Oriole Plaza,-46.15,168.33333,2016-03-22 12:46:45,MARKET,CLOSED
26,13,9,03 Arrowood Crossing,53.40715,23.50228,2016-02-27 03:44:02,MARKET,CLOSED
27,13,null,17753 Village Green Alley,53.01556,-7.15278,2015-09-03 20:57:32,HOME,PENDING
28,14,10,08329 Delaware Trail,41.2458,-8.5667,2016-02-15 22:51:28,MARKET,CLOSED
29,14,10,7568 Grim Terrace,45.1667,5.7167,2016-03-01 17:26:26,HOME,CLOSED
30,15,11,0 3rd Terrace,56.11222,40.44666,2015-06-28 01:20:54,HOME,CLOSED
31,15,11,6795 Westport Street,9.63286,123.84702,2015-11-17 18:58:28,HOME,CLOSED
32,16,null,4290 Kinsman Road,44.8055,-93.7665,2016-01-01 09:33:44,HOME,PENDING
33,16,12,48 Russell Circle,31.85247,35.93928,2016-02-08 19:22:18,HOME,CLOSED
34,17,12,9283 Colorado Alley,56.8777,14.8091,2015-11-06 18:43:13,HOME,ACTIVE
35,17,51,4 Merchant Avenue,-9.6136,124.6658,2015-12-04 13:33:59,HOME,CLOSED
36,18,13,19760 Stone Corner Junction,-8.0381,113.7789,2016-04-06 21:01:16,HOME,CLOSED
37,18,13,48192 Oakridge Park,21.38748,106.12704,2015-05-13 20:07:50,STREET,CLOSED
38,19,13,0117 Monica Parkway,34.04407,108.76818,2015-10-27 14:27:30,HOME,ACTIVE
39,19,14,820 Wayridge Crossing,53.84458,18.10006,2016-03-14 05:41:46,HOME,CLOSED
